Дата,Adj Close,Date
2018-11-04,1083.53,11.04.2018
2018-10-04,1090.79,10.04.2018
2018-09-04,1094.98,09.04.2018
2018-06-04,1236.48,06.04.2018
2018-05-04,1253.47,05.04.2018
2018-04-04,1240.39,04.04.2018
2018-03-04,1237.06,03.04.2018
2018-02-04,1234.06,02.04.2018
2018-03-30,1249.41,30.03.2018
2018-03-29,1246.98,29.03.2018
2018-03-28,1226.8,28.03.2018
2018-03-27,1243.99,27.03.2018
2018-03-26,1230.96,26.03.2018
2018-03-23,1261.44,23.03.2018
2018-03-22,1258.89,22.03.2018
2018-03-21,1270.08,21.03.2018
2018-03-20,1256.0,20.03.2018
2018-03-19,1241.28,19.03.2018
2018-03-16,1254.29,16.03.2018
2018-03-15,1247.28,15.03.2018
2018-03-14,1251.19,14.03.2018
2018-03-13,1285.8,13.03.2018
2018-12-03,1283.18,12.03.2018
2018-09-03,1285.53,09.03.2018
2018-07-03,1270.17,07.03.2018
2018-06-03,1281.43,06.03.2018
2018-05-03,1279.51,05.03.2018
2018-02-03,1261.63,02.03.2018
2018-01-03,1274.18,01.03.2018
2018-02-28,1285.47,28.02.2018
2018-02-27,1310.84,27.02.2018
2018-02-26,1324.62,26.02.2018
2018-02-22,1301.01,22.02.2018
2018-02-21,1291.19,21.02.2018
2018-02-20,1264.68,20.02.2018
2018-02-19,1259.01,19.02.2018
2018-02-16,1263.27,16.02.2018
2018-02-15,1262.27,15.02.2018
2018-02-14,1244.85,14.02.2018
2018-02-13,1226.92,13.02.2018
2018-12-02,1206.22,12.02.2018
2018-09-02,1185.79,09.02.2018
2018-08-02,1210.69,08.02.2018
2018-07-02,1242.53,07.02.2018
2018-06-02,1232.69,06.02.2018
2018-05-02,1263.77,05.02.2018
2018-02-02,1272.76,02.02.2018
2018-01-02,1293.1,01.02.2018
2018-01-31,1282.36,31.01.2018
2018-01-30,1274.94,30.01.2018
2018-01-29,1275.57,29.01.2018
2018-01-26,1286.7,26.01.2018
2018-01-25,1311.21,25.01.2018
2018-01-24,1292.32,24.01.2018
2018-01-23,1283.75,23.01.2018
2018-01-22,1285.33,22.01.2018
2018-01-19,1270.92,19.01.2018
2018-01-18,1279.28,18.01.2018
2018-01-17,1264.7,17.01.2018
2018-01-16,1261.09,16.01.2018
2018-01-15,1264.3,15.01.2018
2018-12-01,1261.07,12.01.2018
2018-11-01,1248.75,11.01.2018
2018-10-01,1234.64,10.01.2018
2018-09-01,1229.15,09.01.2018
2018-05-01,1219.89,05.01.2018
2018-04-01,1214.17,04.01.2018
2018-03-01,1183.06,03.01.2018
2017-12-29,1154.43,29.12.2017
2017-12-28,1150.58,28.12.2017
2017-12-27,1148.92,27.12.2017
2017-12-26,1144.97,26.12.2017
2017-12-25,1143.94,25.12.2017
2017-12-22,1135.7,22.12.2017
2017-12-21,1126.97,21.12.2017
2017-12-20,1129.33,20.12.2017
2017-12-19,1134.58,19.12.2017
2017-12-18,1147.91,18.12.2017
2017-12-15,1148.27,15.12.2017
2017-12-14,1153.32,14.12.2017
2017-12-13,1141.5,13.12.2017
2017-12-12,1149.88,12.12.2017
2017-11-12,1144.35,11.12.2017
2017-08-12,1119.54,08.12.2017
2017-07-12,1119.51,07.12.2017
2017-06-12,1131.38,06.12.2017
2017-05-12,1134.25,05.12.2017
2017-04-12,1133.87,04.12.2017
2017-01-12,1133.33,01.12.2017
2017-11-30,1131.56,30.11.2017
2017-11-29,1144.68,29.11.2017
2017-11-28,1159.41,28.11.2017
2017-11-27,1160.56,27.11.2017
2017-11-24,1166.09,24.11.2017
2017-11-23,1158.62,23.11.2017
2017-11-22,1159.11,22.11.2017
2017-11-21,1147.61,21.11.2017
2017-11-20,1128.72,20.11.2017
2017-11-17,1132.45,17.11.2017
2017-11-16,1126.52,16.11.2017
2017-11-15,1116.53,15.11.2017
